ID,Player,Span,Matches,Starts,Subs,Points,Tries,Conversions,Penalties,Drop Goals,GfM,Won,Lost,Drawn
1,William Allen,1875-1875,1,1,0,0,0,0,0,0,0,0,1,0
2,George Andrews,1875-1875,2,2,0,0,0,0,0,0,0,0,2,0
3,W.H. Ash,1875-1877,3,3,0,0,0,0,0,0,0,0,3,0
4,Maurice Barlow,1875-1875,1,1,0,0,0,0,0,0,0,0,1,0
5,Richard Bell,1875-1875,2,2,0,0,0,0,0,0,0,0,2,0
6,Brab Casement,1875-1879,3,3,0,0,0,0,0,0,0,0,3,0
7,Abram Combe,1875-1875,1,1,0,0,0,0,0,0,0,0,1,0
8,Henry Cox,1875-1877,4,4,0,0,0,0,0,0,0,0,4,0
9,Abraham Cronyn,1875-1880,3,3,0,0,0,0,0,0,0,0,3,0
10,William Gaffikin,1875-1875,1,1,0,0,0,0,0,0,0,0,1,0
11,Edgar Galbraith,1875-1875,1,1,0,0,0,0,0,0,0,0,1,0
12,Richard Galbraith,1875-1877,3,3,0,0,0,0,0,0,0,0,3,0
13,Francis Hewson,1875-1875,1,1,0,0,0,0,0,0,0,0,1,0
14,Sandy McDonald,1875-1884,13,13,0,0,0,0,0,0,0,1,11,1
15,Edward MacIlwaine,1875-1875,2,2,0,0,0,0,0,0,0,0,2,0
16,Robert Maginniss,1875-1875,2,2,0,0,0,0,0,0,0,0,2,0
17,John Myles,1875-1875,1,1,0,0,0,0,0,0,0,0,1,0
18,George Stack,1875-1875,1,1,0,0,0,0,0,0,0,0,1,0
19,Robert Walkington,1875-1882,10,10,0,0,0,0,0,0,0,0,9,1
20,Henry Walsh,1875-1875,2,2,0,0,0,0,0,0,0,0,2,0
21,David Arnott,1875-1875,1,1,0,0,0,0,0,0,0,0,1,0
22,Tim Cuscaden,1875-1875,1,1,0,0,0,0,0,0,0,0,1,0
23,William Finlay,1875-1882,8,8,0,0,0,0,0,0,0,0,8,0
24,R. Greer,1875-1875,1,1,0,0,0,0,0,0,0,0,1,0
25,Edward Hobson,1875-1875,1,1,0,0,0,0,0,0,0,0,1,0
26,John Ireland,1875-1877,2,2,0,0,0,0,0,0,0,0,2,0
27,Hamilton Moore,1875-1877,2,2,0,0,0,0,0,0,0,0,2,0
28,Ashley Westby,1875-1875,1,1,0,0,0,0,0,0,0,0,1,0
29,Harry Brown,1877-1877,1,1,0,0,0,0,0,0,0,0,1,0
30,Thomas Brown,1877-1877,2,2,0,0,0,0,0,0,0,0,2,0
31,Henry Edwards,1877-1878,2,2,0,0,0,0,0,0,0,0,2,0
32,Thomas Gordon,1877-1878,3,3,0,0,0,0,0,0,0,0,3,0
33,William Hamilton,1877-1877,1,1,0,0,0,0,0,0,0,0,1,0
34,Harry Jackson,1877-1877,1,1,0,0,0,0,0,0,0,0,1,0
35,Hugh Kelly,1877-1880,6,6,0,0,0,0,0,0,0,0,6,0
36,Frederick Kidd,1877-1878,3,3,0,0,0,0,0,0,0,0,3,0
37,Augustus Whitestone,1877-1883,5,5,0,0,0,0,0,0,0,0,5,0
38,William Wilson,1877-1877,2,2,0,0,0,0,0,0,0,0,2,0
39,J. Currell,1877-1877,1,1,0,0,0,0,0,0,0,0,1,0
40,James Heron,1877-1879,2,2,0,0,0,0,0,0,0,0,2,0
41,Henry Murray,1877-1879,3,3,0,0,0,0,0,0,0,0,3,0
42,Garvett Shaw,1877-1877,1,1,0,0,0,0,0,0,0,0,1,0
43,Edward Croker,1878-1878,1,1,0,0,0,0,0,0,0,0,1,0
44,George Fagan,1878-1878,1,1,0,0,0,0,0,0,0,0,1,0
45,W. Griffiths,1878-1878,1,1,0,0,0,0,0,0,0,0,1,0
46,Barney Hughes,1878-1886,12,12,0,0,0,0,0,0,0,1,10,1
47,Robert Matier,1878-1879,2,2,0,0,0,0,0,0,0,0,2,0
48,William Moore,1878-1878,1,1,0,0,0,0,0,0,0,0,1,0
49,Frederick Schute,1878-1879,2,2,0,0,0,0,0,0,0,0,2,0
50,Arthur Archer,1879-1879,1,1,0,0,0,0,0,0,0,0,1,0
51,Jack Bagot,1879-1881,5,5,0,1,0,0,0,1,0,1,4,0
52,William Cummins,1879-1882,3,3,0,0,0,0,0,0,0,0,2,1
53,William Goulding,1879-1879,1,1,0,0,0,0,0,0,0,0,1,0
54,Thomas Harrison,1879-1881,3,3,0,0,0,0,0,0,0,0,3,0
55,William Neville,1879-1879,2,2,0,0,0,0,0,0,0,0,2,0
56,Henry Purdon,1879-1881,5,5,0,0,0,0,0,0,0,1,4,0
57,George Scriven,1879-1883,8,8,0,0,0,0,0,0,0,0,8,0
58,John Taylor,1879-1883,8,8,0,0,0,0,0,0,0,1,6,1
59,James Bristow,1879-1879,1,1,0,0,0,0,0,0,0,0,1,0
60,John Cuppaidge,1879-1880,3,3,0,0,1,0,0,0,0,0,3,0
61,Jack Keon,1879-1879,1,1,0,0,0,0,0,0,0,0,1,0
62,William Pike,1879-1883,5,5,0,0,0,0,0,0,0,1,3,1
63,Willington Willis,1879-1879,1,1,0,0,0,0,0,0,0,0,1,0
64,Arthur Forrest,1880-1885,8,8,0,0,1,0,0,0,0,1,6,1
65,William Heron,1880-1880,2,2,0,0,0,0,0,0,0,0,2,0
66,Meredith Johnston,1880-1886,8,8,0,0,1,0,0,0,0,1,6,1
67,Francis Kennedy,1880-1882,3,3,0,0,0,0,0,0,0,0,3,0
68,Alfred Miller,1880-1883,3,3,0,0,0,0,0,0,0,0,3,0
69,William Wallis,1880-1883,5,5,0,0,0,0,0,0,0,1,4,0
70,David Browning,1881-1881,2,2,0,0,0,0,0,0,0,1,1,0
71,John Burkitt,1881-1881,1,1,0,0,0,0,0,0,0,0,1,0
72,Alfred MacMullen,1881-1881,2,2,0,0,0,0,0,0,0,1,1,0
73,Jones Morell,1881-1882,4,4,0,0,0,0,0,0,0,1,2,1
74,William Peirce,1881-1881,1,1,0,0,0,0,0,0,0,0,1,0
75,Henry Spunner,1881-1884,3,3,0,0,0,0,0,0,0,1,2,0
76,Jack Johnston,1881-1887,9,9,0,0,0,0,0,0,0,2,7,0
77,Robert McLean,1881-1885,10,10,0,0,0,0,0,0,0,1,8,1
78,Joseph Atkinson,1882-1882,2,2,0,0,0,0,0,0,0,0,2,0
79,Gerrard Bent,1882-1882,2,2,0,0,0,0,0,0,0,0,1,1
80,Arthur Downing,1882-1882,1,1,0,0,0,0,0,0,0,0,1,0
81,William Fletcher,1882-1883,3,3,0,0,0,0,0,0,0,0,3,0
82,Ernest Greene,1882-1886,4,4,0,0,1,0,0,0,0,0,4,0
83,Frederick Heuston,1882-1883,3,3,0,0,0,0,0,0,0,0,3,0
84,John Kennedy,1882-1884,2,2,0,0,0,0,0,0,0,0,2,0
85,Ted McCarthy,1882-1882,1,1,0,0,0,0,0,0,0,0,1,0
86,Thomas McCarthy,1882-1882,1,1,0,0,0,0,0,0,0,0,1,0
87,Bob Thompson,1882-1882,1,1,0,0,0,0,0,0,0,0,1,0
88,Thomas Johnson-Smyth,1882-1882,1,1,0,0,0,0,0,0,0,0,0,1
89,Robert Nelson,1882-1886,4,4,0,0,0,0,0,0,0,0,3,1
90,Oliver Stokes,1882-1884,2,2,0,0,1,0,0,0,0,0,1,1
91,Edward Wolfe,1882-1882,1,1,0,0,0,0,0,0,0,0,0,1
92,John Buchanan,1882-1884,3,3,0,0,0,0,0,0,0,0,3,0
93,Robert Morrow,1882-1888,10,10,0,0,0,0,0,0,0,0,10,0
94,Alexander O'Sullivan,1882-1882,1,1,0,0,0,0,0,0,0,0,1,0
95,Joe Pedlow,1882-1884,2,2,0,0,0,0,0,0,0,0,2,0
96,Stewart Bruce,1883-1884,3,3,0,0,0,0,0,0,0,0,3,0
97,Henry King,1883-1883,2,2,0,0,0,0,0,0,0,0,2,0
98,Frank Moore,1883-1884,4,4,0,0,0,0,0,0,0,0,4,0
99,Rowland Scovell,1883-1884,2,2,0,0,0,0,0,0,0,0,2,0
100,Peyton Warren,1883-1883,1,1,0,0,0,0,0,0,0,0,1,0
101,Samuel Collier,1883-1883,1,1,0,0,0,0,0,0,0,0,1,0
102,Henry Brabazon,1884-1886,3,3,0,0,0,0,0,0,0,0,3,0
103,William Higgin,1884-1884,2,2,0,0,0,0,0,0,0,0,2,0
104,Francis Levis,1884-1884,1,1,0,0,0,0,0,0,0,0,1,0
105,Daniel Ross,1884-1886,5,5,0,0,0,0,0,0,0,0,5,0
106,William Rutherford,1884-1888,6,6,0,0,0,0,0,0,0,1,5,0
107,Alexander Gordon,1884-1884,1,1,0,0,0,0,0,0,0,0,1,0
108,Thomas Hobbs,1884-1885,2,2,0,0,0,0,0,0,0,0,2,0
109,Walter Kelly,1884-1884,1,1,0,0,0,0,0,0,0,0,1,0
110,Lewis McIntosh,1884-1884,1,1,0,0,1,0,0,0,0,0,1,0
111,Forbes Maguire,1884-1884,1,1,0,0,0,0,0,0,0,0,1,0
112,John O'Sullivan,1884-1887,2,2,0,0,0,0,0,0,0,0,2,0
113,George Wheeler,1884-1885,2,2,0,0,0,0,0,0,0,0,2,0
114,William Collis,1884-1884,1,1,0,0,0,0,0,0,0,0,1,0
115,Herbert Cook,1884-1884,1,1,0,0,0,0,0,0,0,0,1,0
116,John Fitzgerald,1884-1884,1,1,0,0,0,0,0,0,0,0,1,0
117,William Hallaran,1884-1884,1,1,0,0,0,0,0,0,0,0,1,0
118,Bruce Hamilton,1884-1884,1,1,0,0,0,0,0,0,0,0,1,0
119,Walter Johnstone,1884-1884,1,1,0,0,0,0,0,0,0,0,1,0
120,Charles Jordan,1884-1884,1,1,0,0,0,0,0,0,0,0,1,0
121,John McDaniel,1884-1884,1,1,0,0,0,0,0,0,0,0,1,0
122,Frederick Moore,1884-1886,4,4,0,0,0,0,0,0,0,0,4,0
123,Lambert Moyers,1884-1884,1,1,0,0,0,0,0,0,0,0,1,0
124,Thomas Allen,1885-1885,2,2,0,0,0,0,0,0,0,0,2,0
125,Robert Bradshaw,1885-1885,3,3,0,0,0,0,0,0,0,0,3,0
126,Ernie Crawford,1885-1885,2,2,0,0,0,0,0,0,0,0,2,0
127,Thomas Lyle,1885-1887,6,6,0,0,0,0,0,0,0,1,5,0
128,Harry Neill,1885-1888,9,9,0,0,0,0,0,0,0,2,7,0
129,John Ross,1885-1886,5,5,0,0,0,0,0,0,0,0,5,0
130,Thomas Shanahan,1885-1888,6,6,0,0,1,0,0,0,0,1,5,0
131,Robert Warren,1885-1890,15,15,0,0,1,0,0,0,0,3,11,1
132,J.A. Thompson,1885-1885,2,2,0,0,0,0,0,0,0,0,2,0
133,William Hogg,1885-1885,1,1,0,0,0,0,0,0,0,0,1,0
134,D.V. Hunter,1885-1885,1,1,0,0,0,0,0,0,0,0,1,0
135,Joseph Chambers,1886-1887,5,5,0,0,0,0,0,0,0,1,4,0
136,Victor le Fanu,1886-1892,11,11,0,0,0,0,0,0,0,3,8,0
137,Ralph Massy-Westropp,1886-1886,1,1,0,0,0,0,0,0,0,0,1,0
138,Maxy Carpendale,1886-1888,4,4,0,1,0,0,0,1,0,1,3,0
139,Robert Herrick,1886-1886,1,1,0,0,0,0,0,0,0,0,1,0
140,James McMordie,1886-1886,1,1,0,0,0,0,0,0,0,0,1,0
141,Francis Miller,1886-1886,1,1,0,0,0,0,0,0,0,0,1,0
142,Joseph Ross,1886-1886,1,1,0,0,0,0,0,0,0,0,1,0
143,Frank Stoker,1886-1891,5,5,0,0,0,0,0,0,0,1,4,0
144,James Waites,1886-1891,7,7,0,0,1,0,0,0,0,1,5,1
145,John Dick,1887-1887,3,3,0,0,0,0,0,0,0,1,2,0
146,John Macaulay,1887-1887,2,2,0,0,0,0,0,0,0,1,1,0
147,James McLaughlin,1887-1888,4,4,0,0,0,0,0,0,0,2,2,0
148,Robert Montgomery,1887-1892,5,5,0,0,4,0,0,0,0,2,3,0
149,Daniel Rambaut,1887-1888,4,4,0,3,0,3,0,0,0,2,2,0
150,Robert Stevenson,1887-1893,14,14,0,0,0,0,0,0,0,3,9,2
151,Charles Tillie,1887-1888,4,4,0,0,1,0,0,0,0,2,2,0
152,Dolway Walkington,1887-1891,8,8,0,3,0,0,0,1,0,2,5,1
153,Edward Walshe,1887-1893,7,7,0,4,2,0,0,0,0,2,5,0
154,Malcolm Moore,1887-1888,3,3,0,0,0,0,0,0,0,1,2,0
155,W. Davison,1887-1887,1,1,0,0,0,0,0,0,0,0,1,0
156,Patrick O'Connor,1887-1887,1,1,0,0,0,0,0,0,0,0,1,0
157,Thomas Taggart,1887-1887,1,1,0,0,0,0,0,0,0,0,1,0
158,William Ekin,1888-1888,2,2,0,0,0,0,0,0,0,1,1,0
159,Robert Mayne,1888-1888,2,2,0,0,0,0,0,0,0,1,1,0
160,James Moffatt,1888-1891,7,7,0,0,0,0,0,0,0,1,5,1
161,Ernest Stoker,1888-1888,2,2,0,0,0,0,0,0,0,1,1,0
162,William Morton,1888-1888,1,1,0,0,0,0,0,0,0,0,1,0
163,Alfred Walpole,1888-1888,2,2,0,0,0,0,0,0,0,0,2,0
164,Herbert Andrews,1888-1889,3,3,0,0,0,0,0,0,0,1,2,0
165,Michael Bulger,1888-1888,1,1,0,0,0,0,0,0,0,0,1,0
166,Taffy Edwards,1888-1893,6,6,0,0,0,0,0,0,0,1,4,1
167,Edmund Forrest,1888-1897,13,13,0,4,0,0,0,1,0,5,7,1
168,Joseph Jameson,1888-1893,7,7,0,0,0,0,0,0,0,2,4,1
169,John Lytle,1888-1894,8,8,0,5,1,1,0,0,0,4,4,0
170,John O'Conor,1888-1896,17,17,0,0,0,0,0,0,0,6,8,3
171,James Stevenson,1888-1889,2,2,0,1,0,1,0,0,0,0,2,0
172,David Woods,1888-1889,2,2,0,0,1,0,0,0,0,0,2,0
173,Thomas Donovan,1889-1889,1,1,0,0,0,0,0,0,0,0,1,0
174,Luke Holmes,1889-1889,2,2,0,0,0,0,0,0,0,1,1,0
175,Llewellyn Nash,1889-1891,6,6,0,0,0,0,0,0,0,0,5,1
176,Thomas Pedlow,1889-1889,2,2,0,0,0,0,0,0,0,1,1,0
177,Charles Stack,1889-1889,1,1,0,0,0,0,0,0,0,0,1,0
178,Robert Yeates,1889-1889,2,2,0,0,0,0,0,0,0,1,1,0
179,John Cotton,1889-1889,1,1,0,0,1,0,0,0,0,1,0,0
180,Robert Dunlop,1889-1894,11,11,0,1,1,0,0,0,0,2,8,1
181,Alaster McDonnell,1889-1891,4,4,0,0,1,0,0,0,0,1,2,1
182,Henry Richey,1889-1890,2,2,0,0,0,0,0,0,0,1,1,0
183,William Davis,1890-1895,9,9,0,0,0,0,0,0,0,0,8,1
184,Eddie Doran,1890-1890,2,2,0,0,0,0,0,0,0,0,1,1
185,Harry Gifford,1890-1890,1,1,0,0,0,0,0,0,0,0,1,0
186,Ralph Johnston,1890-1890,3,3,0,0,0,0,0,0,0,0,2,1
187,J. Roche,1890-1892,7,7,0,5,0,2,0,0,0,1,5,1
188,Hugh Galbraith,1890-1890,1,1,0,0,0,0,0,0,0,0,0,1
189,Benjamin Tuke,1890-1895,9,9,0,0,0,0,0,0,0,3,6,0
190,Sam Lee,1891-1898,19,19,0,1,1,0,0,0,0,8,9,2
191,Charles Rooke,1891-1897,19,19,0,0,0,0,0,0,0,7,10,2
192,Edwin Cameron,1891-1891,2,2,0,0,0,0,0,0,0,0,2,0
193,George Collopy,1891-1892,2,2,0,0,0,0,0,0,0,0,2,0
194,Edward Frazer,1891-1892,2,2,0,0,0,0,0,0,0,0,2,0
195,Robert Stokes,1891-1891,2,2,0,0,0,0,0,0,0,0,2,0
196,Herbert Wells,1891-1894,4,4,0,3,1,0,0,0,0,2,2,0
197,Thomas Fogarty,1891-1891,1,1,0,0,0,0,0,0,0,0,1,0
198,Robert Pedlow,1891-1891,1,1,0,0,0,0,0,0,0,0,1,0
199,William Gardiner,1892-1898,17,17,0,6,2,0,0,0,0,6,9,2
200,T.J. Johnston,1892-1895,6,6,0,0,0,0,0,0,0,1,4,1
201,Thomas Peel,1892-1892,3,3,0,0,0,0,0,0,0,1,2,0
202,Robert Smith,1892-1892,1,1,0,0,0,0,0,0,0,0,1,0
203,Thomas Thornhill,1892-1893,4,4,0,0,0,0,0,0,0,1,3,0
204,Arthur Wallis,1892-1893,5,5,0,0,0,0,0,0,0,1,4,0
205,Coo Clinch,1892-1897,14,14,0,0,0,0,0,0,0,6,7,1
206,Frederick Davies,1892-1893,5,5,0,2,1,0,0,0,0,1,3,1
207,Michael Egan,1893-1895,2,2,0,0,0,0,0,0,0,0,2,0
208,Sam Gardiner,1893-1893,2,2,0,0,0,0,0,0,0,0,1,1
209,Robert Johnston,1893-1896,5,5,0,0,0,0,0,0,0,3,2,0
210,Harry Lindsay,1893-1898,13,13,0,3,1,0,0,0,0,6,5,2
211,Walter Brown,1893-1894,5,5,0,0,0,0,0,0,0,3,1,1
212,Herbert Forrest,1893-1893,2,2,0,0,0,0,0,0,0,0,1,1
213,Lucius Gwynn,1893-1898,7,7,0,0,0,0,0,0,0,4,2,1
214,Bryan O'Brien,1893-1893,2,2,0,0,0,0,0,0,0,0,1,1
215,Robert Hamilton,1893-1893,1,1,0,0,0,0,0,0,0,0,1,0
216,William Sparrow,1893-1894,2,2,0,0,0,0,0,0,0,1,1,0
217,Tom Crean,1894-1896,13,13,0,9,3,0,0,0,0,8,4,1
218,James Lytle,1894-1899,12,12,0,6,1,0,1,0,0,8,3,1
219,George Walmsley,1894-1894,1,1,0,0,0,0,0,0,0,1,0,0
220,Andrew Bond,1894-1894,2,2,0,0,0,0,0,0,0,2,0,0
221,Patrick Grant,1894-1894,2,2,0,0,0,0,0,0,0,2,0,0
222,Alfred Brunker,1895-1895,2,2,0,0,0,0,0,0,0,0,2,0
223,Hugh McCoull,1895-1899,4,4,0,0,0,0,0,0,0,1,3,0
224,Louis Magee,1895-1904,31,31,0,9,2,0,1,0,0,14,15,2
225,Joseph Magee,1895-1895,2,2,0,0,0,0,0,0,0,0,2,0
226,Thomas Stevenson,1895-1897,7,7,0,3,1,0,0,0,0,3,3,1
227,Glascott Symes,1895-1895,1,1,0,0,0,0,0,0,0,0,1,0
228,John Fulton,1895-1904,16,16,0,0,0,0,0,0,0,6,10,0
229,Edward MacIlwaine,1895-1895,2,2,0,0,0,0,0,0,0,0,2,0
230,Alexander Montgomery,1895-1895,1,1,0,0,0,0,0,0,0,0,1,0
231,Jack O'Connor,1895-1895,1,1,0,0,0,0,0,0,0,0,1,0
232,Bill O'Sullivan,1895-1895,1,1,0,0,0,0,0,0,0,0,1,0
233,Michael Delaney,1895-1895,1,1,0,0,0,0,0,0,0,0,1,0
234,Arthur Gwynn,1895-1895,1,1,0,0,0,0,0,0,0,0,1,0
235,Glyn Allen,1896-1899,9,9,0,3,1,0,0,0,0,6,2,1
236,Lawrence Bulger,1896-1898,12,12,0,25,3,3,2,0,1,7,4,1
237,Bill Byron,1896-1899,11,11,0,0,0,0,0,0,0,7,3,1
238,James Sealy,1896-1900,13,13,0,6,2,0,0,0,0,8,3,2
239,George McAllan,1896-1896,2,2,0,0,0,0,0,0,0,1,0,1
240,John McIlwaine,1897-1899,7,7,0,0,0,0,0,0,0,4,3,0
241,John Ryan,1897-1904,14,14,0,3,1,0,0,0,0,6,7,1
242,Michael Ryan,1897-1904,17,17,0,3,1,0,0,0,0,7,9,1
243,Pierce O'Brien-Butler,1897-1900,6,6,0,0,0,0,0,0,0,3,3,0
244,John Davis,1898-1898,2,2,0,0,0,0,0,0,0,1,1,0
245,James Franks,1898-1898,3,3,0,0,0,0,0,0,0,1,2,0
246,Carmichael Purser,1898-1898,3,3,0,0,0,0,0,0,0,1,2,0
247,Frederick Smithwick,1898-1898,2,2,0,0,0,0,0,0,0,0,2,0
248,Ainsworth Barr,1898-1901,4,4,0,0,0,0,0,0,0,2,2,0
249,Thomas Little,1898-1901,7,7,0,0,0,0,0,0,0,3,3,1
250,Ned McCarthy,1898-1898,1,1,0,0,0,0,0,0,0,0,1,0
251,Thomas Ahearne,1899-1899,1,1,0,0,0,0,0,0,0,1,0,0
252,Barney Allison,1899-1903,12,12,0,4,0,0,0,1,0,4,7,1
253,William Brown,1899-1899,1,1,0,0,0,0,0,0,0,1,0,0
254,Ian Davidson,1899-1903,10,10,0,6,2,0,0,0,0,3,5,2
255,George Harman,1899-1899,2,2,0,0,0,0,0,0,0,2,0,0
256,Tom McGown,1899-1901,7,7,0,0,0,0,0,0,0,5,2,0
257,Edward Campbell,1899-1900,4,4,0,3,1,0,0,0,0,2,2,0
258,Gerry Doran,1899-1904,10,10,0,6,2,0,0,0,0,4,5,1
259,Newry Meares,1896-1900,6,6,0,0,0,0,0,0,0,3,3,0
260,Carl Reid,1899-1903,4,4,0,3,1,0,0,0,0,2,2,0
261,Cecil Moriarty,1899-1899,1,1,0,0,0,0,0,0,0,1,0,0
262,Ellie Allen,1900-1907,21,21,0,3,1,0,0,0,0,6,14,1
263,John Coffey,1900-1910,19,19,0,0,0,0,0,0,0,8,11,0
264,John Ferris,1900-1900,3,3,0,0,0,0,0,0,0,0,2,1
265,Fred Gardiner,1900-1909,22,22,0,15,3,3,0,0,0,8,13,1
266,Samuel Irwin,1900-1903,9,9,0,4,0,2,0,0,0,2,6,1
267,Percy Nicholson,1900-1900,3,3,0,0,0,0,0,0,0,0,2,1
268,Cecil Boyd,1896-1901,4,4,0,0,0,0,0,0,0,1,2,1
269,Bertie Doran,1900-1902,8,8,0,3,1,0,0,0,0,2,5,1
270,Thomas Harvey,1900-1903,8,8,0,0,0,0,0,0,0,2,6,0
271,Albert Freear,1901-1901,3,3,0,3,1,0,0,0,0,1,2,0
272,Patrick Healey,1901-1904,10,10,0,0,0,0,0,0,0,3,7,0
273,Archibald Heron,1901-1901,1,1,0,0,0,0,0,0,0,1,0,0
274,Harry Irvine,1901-1901,1,1,0,2,0,1,0,0,0,0,1,0
275,Hugh Ferris,1901-1903,2,2,0,0,0,0,0,0,0,1,1,0
276,Harry Corley,1902-1904,8,8,0,5,0,1,1,0,0,2,6,0
277,Charles Fitzgerald,1902-1903,3,3,0,0,0,0,0,0,0,1,2,0
278,George Hamlet,1902-1911,30,30,0,0,0,0,0,0,0,12,17,1
279,Alfred Tedford,1902-1908,26,26,0,18,6,0,0,0,0,9,15,2
280,John Pringle,1902-1902,2,2,0,0,0,0,0,0,0,1,1,0
281,Henry Anderson,1903-1906,4,4,0,0,0,0,0,0,0,2,2,0
282,George Harvey,1903-1905,5,5,0,0,0,0,0,0,0,4,1,0
283,Robertson Smyth,1903-1904,6,6,0,0,0,0,0,0,0,1,3,2
284,David Taylor,1903-1903,1,1,0,0,0,0,0,0,0,1,0,0
285,James Wallace,1903-1906,10,10,0,12,4,0,0,0,0,4,6,0
286,George Bradshaw,1903-1903,1,1,0,0,0,0,0,0,0,0,1,0
287,James Parke,1903-1909,20,20,0,36,2,6,5,0,1,6,14,0
288,Fred Kennedy,1904-1904,2,2,0,0,0,0,0,0,0,1,1,0
