place,1841,1851,1861,1871,1881,1891,1901,1911,1926,1936,1946,1951,1956,1961,1966,1971,1979,1981,1986,1991,1996,2002,2006,2011,2016
State,"6,528,799","5,111,557","4,402,111","4,053,187","3,870,020","3,468,694","3,221,823","3,139,688","2,971,992","2,968,420","2,955,107","2,960,593","2,898,264","2,818,341","2,884,002","2,978,248","3,368,217","3,443,405","3,540,643","3,525,719","3,626,087","3,917,203","4,239,848","4,588,252","4,761,865"
Carlow,"86,228","68,078","57,137","51,650","46,568","40,936","37,748","36,252","34,476","34,452","34,081","34,162","33,888","33,342","33,593","34,237","38,668","39,820","40,988","40,942","41,616","46,014","50,349","54,612","56,932"
Dublin,"372,773","405,147","410,252","405,262","418,910","419,216","448,206","477,196","505,654","586,925","636,193","693,022","705,781","718,332","795,047","852,219","983,683","1,003,164","1,021,449","1,025,304","1,058,264","1,122,821","1,187,176","1,273,069","1,347,359"
Kildare,"114,488","95,723","90,946","83,614","75,804","70,206","63,566","66,627","58,028","57,892","64,849","66,437","65,915","64,420","66,404","71,977","97,185","104,122","116,247","122,656","134,992","163,944","186,335","210,312","222,504"
Kilkenny,"202,420","158,748","124,515","109,379","99,531","87,261","79,159","74,962","70,990","68,614","66,712","65,235","64,089","61,668","60,463","61,473","69,156","70,806","73,186","73,635","75,336","80,339","87,558","95,419","99,232"
Laois,"153,930","111,664","90,650","79,771","73,124","64,883","57,417","54,629","51,540","50,109","49,697","48,430","47,087","45,069","44,595","45,259","49,936","51,171","53,284","52,314","52,945","58,774","67,059","80,559","84,697"
Longford,"115,491","82,348","71,694","64,501","61,009","52,647","46,672","43,820","39,847","37,847","36,218","34,553","32,969","30,643","28,989","28,250","30,785","31,140","31,496","30,296","30,166","31,068","34,391","39,000","40,873"
Louth,"128,240","107,662","90,713","84,021","77,684","71,038","65,820","63,665","62,739","64,339","66,194","68,771","69,194","67,378","69,519","74,951","86,135","88,514","91,810","90,724","92,166","101,821","111,267","122,897","128,884"
Meath,"183,828","140,748","110,373","95,558","87,469","76,987","67,497","65,091","62,969","61,405","66,232","66,337","66,762","65,122","67,323","71,729","90,715","95,419","103,881","105,370","109,732","134,005","162,831","184,135","195,044"
Offaly,"146,857","112,076","90,043","75,900","72,852","65,563","60,187","56,832","52,592","51,308","53,686","52,544","51,970","51,533","51,717","51,829","57,342","58,312","59,835","58,494","59,117","63,663","70,868","76,687","77,961"
Westmeath,"141,300","111,407","90,879","78,432","71,798","65,109","61,629","59,986","56,818","54,706","54,949","54,463","54,122","52,861","52,900","53,570","59,885","61,523","63,379","61,880","63,314","71,858","79,346","86,164","88,770"
Wexford,"202,033","180,158","143,954","132,666","123,854","111,778","104,104","102,273","95,848","94,245","91,855","90,032","87,259","83,308","83,437","86,351","96,421","99,081","102,552","102,069","104,371","116,596","131,749","145,320","149,722"
Wicklow,"126,143","98,979","86,479","78,697","70,386","62,136","60,824","60,711","57,591","58,569","60,451","62,590","59,906","58,473","60,428","66,295","83,950","87,449","94,542","97,265","102,683","114,676","126,194","136,640","142,425"
Clare,"286,394","212,440","166,305","147,864","141,457","124,483","112,334","104,232","95,064","89,879","85,064","81,329","77,176","73,702","73,597","75,008","84,919","87,567","91,344","90,918","94,006","103,277","110,950","117,196","118,817"
Cork,"854,118","649,308","544,818","517,076","495,607","438,432","404,611","392,104","365,747","355,957","343,668","341,284","336,663","330,443","339,703","352,883","396,118","402,465","412,735","410,369","420,510","447,829","481,295","519,032","542,868"
Kerry,"293,880","238,254","201,800","196,586","201,039","179,136","165,726","159,691","149,171","139,834","133,893","126,644","122,072","116,458","112,785","112,772","120,356","122,770","124,159","121,894","126,130","132,527","139,835","145,502","147,707"
Limerick,"330,029","262,132","217,277","191,936","180,632","158,912","146,098","143,069","140,343","141,153","142,559","141,239","137,881","133,339","137,357","140,459","157,407","161,661","164,569","161,956","165,042","175,304","184,055","191,809","194,899"
Tipperary,"435,553","331,567","249,106","216,713","199,612","173,188","160,232","152,433","141,015","137,835","136,014","133,313","129,415","123,822","122,812","123,565","133,741","135,261","136,619","132,772","133,535","140,131","149,244","158,754","159,553"
Waterford,"196,187","164,035","134,252","123,310","112,768","98,251","87,187","83,966","78,562","77,614","76,108","75,061","74,031","71,439","73,080","77,315","87,278","88,591","91,151","91,624","94,680","101,546","107,961","113,795","116,176"
Galway,"440,198","321,684","271,478","248,458","242,005","214,712","192,549","182,224","169,366","168,198","165,201","160,204","155,553","149,887","148,340","149,223","167,838","172,018","178,552","180,364","188,854","209,077","231,670","250,653","258,058"
Leitrim,"155,297","111,897","104,744","95,562","90,372","78,618","69,343","63,582","55,907","50,908","44,591","41,209","37,056","33,470","30,572","28,360","27,844","27,609","27,035","25,301","25,057","25,799","28,950","31,798","32,044"
Mayo,"388,887","274,499","254,796","246,030","245,212","219,034","199,166","192,177","172,690","161,349","148,120","141,867","133,052","123,330","115,547","109,525","114,019","114,766","115,184","110,713","111,524","117,446","123,839","130,638","130,507"
Roscommon,"253,591","173,436","157,272","140,670","132,490","114,397","101,791","93,956","83,556","77,566","72,510","68,102","63,710","59,217","56,228","53,519","54,189","54,543","54,592","51,897","51,975","53,774","58,768","64,065","64,544"
Sligo,"180,886","128,515","124,845","115,493","111,578","98,013","84,083","79,045","71,388","67,447","62,375","60,513","56,850","53,561","51,263","50,275","54,610","55,474","56,046","54,756","55,821","58,200","60,894","65,393","65,535"
Cavan,"243,158","174,071","153,906","140,735","129,476","111,917","97,541","91,173","82,452","76,670","70,355","66,377","61,740","56,594","54,022","52,618","53,720","53,855","53,965","52,796","52,944","56,546","64,003","73,183","76,176"
Donegal,"296,448","255,158","237,395","218,334","206,035","185,635","173,722","168,537","152,508","142,310","136,317","131,530","122,059","113,842","108,549","108,344","121,941","125,112","129,664","128,117","129,994","137,575","147,264","161,137","159,192"
Monaghan,"200,442","141,823","126,482","114,969","102,748","86,206","74,611","71,455","65,131","61,289","57,215","55,345","52,064","47,088","45,732","46,242","50,376","51,192","52,379","51,293","51,313","52,593","55,997","60,483","61,386"