Name,Status,County,Population,Population,Population,Population,Population,Population
Abbeydorney,Census Town,Kerry,179,159,218,244,412,418
Abbeyfeale,Census Town,Limerick,"1,501","1,486","1,683","1,940","2,007","2,023"
Abbeyknockmoy,Census Town,Galway,...,...,...,...,...,262
Abbeyleix,Census Town,Laois,"1,299","1,259","1,383","1,568","1,827","1,770"
Adamstown,Census Town,Wexford,...,...,176,173,258,293
Adare,Census Town,Limerick,899,"1,042","1,102",982,"1,106","1,129"
Aghada - Farsid - Rostellan,Census Town,Cork,793,786,774,904,"1,015","1,030"
Aglish,Census Town,Waterford,...,...,193,169,343,333
Ahascragh,Census Town,Galway,211,240,271,221,205,195
Ailt an Chorráin (Burtonport),Census Town,Donegal,278,296,346,270,323,304
Allenwood,Census Town,Kildare,303,341,481,667,845,981
Anagaire,Census Town,Donegal,199,205,247,223,253,236
An Bun Beag - Doirí Beaga (Bunbeg - Derrybeg),Census Town,Donegal,"1,427","1,400","1,388","1,359","1,553","1,491"
Carrick ,Census Town,Donegal,267,257,245,253,282,265
An Cheathrú Rua (Carraroe),Census Town,Galway,225,242,629,627,814,781
An Clochán Liath (Dungloe),Census Town,Donegal,988,"1,042",946,"1,068","1,183","1,164"
An Daingean (Dingle),Census Town,Kerry,"1,272","1,536","1,828","1,920","1,965","2,050"
"An Fál Carrach (Falcarragh, Cross Roads)",Census Town,Donegal,951,961,852,842,860,764
Annacotty,Census Town,Limerick,546,586,"1,342","1,839","2,856","2,930"
Annagassan,Census Town,Louth,...,...,...,...,180,201
Annaghdown,Census Town,Galway,...,...,...,227,234,198
Annascaul,Census Town,Kerry,215,203,202,271,299,318
Annayalla (Annyalla),Census Town,Monaghan,...,...,...,...,...,228
An Rinn (Ring),Census Town,Waterford,281,289,332,384,500,499
An Spidéal (Spiddle),Census Town,Galway,...,...,190,247,250,237
Ardagh,Census Town,Limerick,316,328,270,271,288,266
Ardara,Census Town,Donegal,653,635,578,564,731,732
Ardee,Agglomeration,Louth,"3,604","3,791","3,948","4,694","4,927","4,928"
Ardfert,Census Town,Kerry,677,648,691,729,800,749
Ardfinnan,Census Town,Tipperary,868,848,779,747,946,899
Ardmore,Census Town,Waterford,375,436,459,412,435,434
Ardnacrusha (Castlebank),Census Town,Clare,570,655,926,"1,169","1,414","1,383"
Ardskeagh,Census Town,Clare,...,...,149,245,297,289
Arklow,Agglomeration,Wicklow,"7,987","8,557","9,993","11,759","13,009","13,163"
Arthurstown,Census Town,Wexford,...,...,...,159,135,121
Arva,Census Town,Cavan,319,327,357,364,380,411
Ashbourne,Census Town,Meath,"4,411","4,999","6,362","8,528","11,355","12,679"
Ashford,Census Town,Wicklow,878,"1,215","1,356","1,349","1,449","1,425"
Askeaton,Census Town,Limerick,893,851,921,979,"1,149","1,137"
Athboy,Census Town,Meath,"1,083","1,172","1,538","2,213","2,397","2,445"
Athea,Census Town,Limerick,455,443,410,377,385,369
Athenry,Census Town,Galway,"1,612","1,614","2,154","3,205","3,950","4,445"
Athgarvan,Census Town,Kildare,...,...,...,...,"1,016","1,176"
Athleague,Census Town,Roscommon,...,...,...,...,241,248
Athlone,Agglomeration,Westmeath,"15,358","15,544","15,936","17,544","20,153","21,349"
Athy,Agglomeration,Kildare,"5,204","5,306","6,049","8,218","9,926","9,677"
Aughnacliffe,Census Town,Longford,...,...,...,...,148,177
Aughrim,Census Town,Wicklow,713,745,871,"1,145","1,364","1,442"
Avoca,Census Town,Wicklow,494,490,564,734,753,771
Baile an Droichid (Ballindrait),Census Town,Mayo,...,...,...,...,...,170
Baile Chláir (Claregalway),Census Town,Galway,...,...,562,741,"1,217","1,248"
Baile Mhic Íre (Ballymakeery),Census Town,Cork,303,294,337,413,425,427
Bailieborough,Census Town,Cavan,"1,550","1,529","1,660","1,966","2,530","2,683"
Balbradagh,Census Town,Meath,...,...,...,257,363,374
Balbriggan,Agglomeration,Dublin,"7,724","8,473","10,294","15,559","19,960","21,722"
Balla,Census Town,Mayo,337,316,443,586,671,769
Ballaghaderreen,Census Town,Roscommon,"1,270","1,248","1,416","1,720","1,822","1,808"
Ballina,Agglomeration,Mayo,"8,167","8,762","9,647","10,409","11,086","10,171"
Ballina,Census Town,Tipperary,477,598,"1,185","1,861","2,442","2,632"
Ballinabrannagh,Census Town,Carlow,...,...,...,...,389,466
Ballinacarrow,Census Town,Sligo,...,...,...,...,...,202
Ballinaclash,Census Town,Wicklow,...,...,...,...,301,311
Ballinagar,Census Town,Offaly,...,...,...,381,420,453
Ballinagh,Census Town,Cavan,413,401,502,675,766,936
Ballinakill,Census Town,Laois,319,299,328,430,435,445
Ballinalack,Census Town,Westmeath,...,...,...,...,137,137
Ballinalee,Census Town,Longford,...,...,...,151,308,347
Ballinameen,Census Town,Roscommon,...,...,...,...,188,191
Ballinamore,Census Town,Leitrim,743,782,687,805,889,914
Ballinasloe,Agglomeration,Galway ,"5,892","5,723","6,219","6,303","6,659","6,662"
Ballincar,Census Town,Sligo,429,456,510,526,444,424
Ballinderreen,Census Town,Galway,...,...,...,...,...,483
Ballindine,Census Town,Mayo,232,233,297,249,350,349
Ballineen - Enniskean,Census Town,Cork,611,624,619,646,700,692
Ballingarry,Census Town,Limerick,420,389,348,441,527,521
Ballingarry,Census Town,Tipperary,293,315,314,129,293,269
Ballinlough,Census Town,Roscommon,228,205,254,262,300,300
Ballinroad,Census Town,Waterford,235,253,431,794,"1,097","1,161"
Ballinrobe,Census Town,Mayo,"1,229","1,309","1,626","2,098","2,704","2,786"
Ballinspittle,Census Town,Cork,...,...,...,...,194,224
Ballintober,Census Town,Roscommon,...,...,...,...,137,147
Ballintogher,Census Town,Sligo,...,...,...,182,313,331
Ballintra,Census Town,Donegal,247,217,216,211,209,191
Ballisodare (Ballysadare),Census Town,Sligo,581,612,853,971,"1,344","1,350"
Ballivor,Census Town,Meath,341,383,793,"1,212","1,727","1,809"
Ballon,Census Town,Carlow,281,258,284,596,684,712
Ballyagran,Census Town,Limerick,224,215,185,183,190,179
Ballybay,Agglomeration,Monaghan,"1,156","1,152","1,064","1,217","1,461","1,241"
Ballybofey - Stranorlar,Census Town,Donegal,"2,972","3,047","3,603","4,176","4,852","4,852"
Ballyboghil,Census Town,Dublin,207,296,313,321,352,447
Ballybrittas,Census Town,Laois,...,...,...,...,331,388
Ballybunion,Census Town,Kerry,"1,346","1,470","1,329","1,365","1,354","1,413"
Ballycanew,Census Town,Wexford,287,271,302,464,502,516
Ballycannan,Census Town,Clare,664,662,654,651,646,638
Ballycastle,Census Town,Mayo,225,234,249,215,234,219
Ballyclerahan,Census Town,Tipperary,...,...,408,678,807,862
Ballyclogh,Census Town,Cork,232,223,208,177,264,259
Ballycolla,Census Town,Laois,...,...,...,127,138,136
Ballyconnell,Census Town,Cavan,465,433,572,747,"1,061","1,105"
Ballycotton,Census Town,Cork,444,477,425,412,476,497
Ballycullane,Census Town,Wexford,...,...,207,219,285,318
Ballycumber,Census Town,Offaly,248,256,248,216,219,208
Ballydehob,Census Town,Cork,266,227,206,240,271,274
Ballydesmond,Census Town,Cork,211,201,193,191,206,210
Ballyduff,Census Town,Kerry,670,649,614,578,532,517
Ballyedmond,Census Town,Wexford,...,...,...,...,116,121
Ballyfarnan,Census Town,Roscommon,241,231,206,182,205,187
Ballyforan,Census Town,Roscommon,...,...,...,...,172,200
Ballygar,Census Town,Galway,489,546,642,689,660,687
Ballygarvan,Census Town,Cork,...,...,...,457,540,556
Ballygawley,Census Town,Sligo,...,...,...,186,321,310
Ballygeary (Rosslare Harbour),Census Town,Wexford,983,"1,023","1,038","1,041","1,123","1,200"
Ballyhack,Census Town,Wexford,221,212,210,189,207,206
Ballyhahill,Census Town,Limerick,...,...,...,137,170,146
Ballyhaise,Census Town,Cavan,438,435,530,597,620,711
Ballyhale,Census Town,Kilkenny,...,...,...,...,137,174
Ballyhaunis,Census Town,Mayo,"1,282","1,287","1,381","1,708","2,312","2,366"
Ballyheigue,Census Town,Kerry,658,679,626,677,628,724
Ballyhogue,Census Town,Wexford,...,...,...,...,262,269
Ballyhooly,Census Town,Cork,173,190,179,215,412,475
Ballyjamesduff,Census Town,Cavan,829,737,871,"1,690","2,568","2,661"
Ballyknockan,Census Town,Wicklow,...,...,...,...,...,227
Ballylanders,Census Town,Limerick,348,318,333,319,331,308
Ballyliffin,Census Town,Donegal,334,299,313,357,461,426
Ballylinan,Census Town,Laois,431,406,430,754,"1,084","1,101"
Ballylongford,Census Town,Kerry,506,499,405,406,418,391
Ballymacarbry,Census Town,Waterford,...,...,...,...,132,138
Ballymacoda,Census Town,Cork,...,...,...,...,128,185
Ballymahon,Census Town,Longford,816,790,827,963,"1,563","1,877"
Ballymore,Census Town,Westmeath,219,212,239,289,433,483
Ballymore Eustace,Census Town,Kildare,625,719,786,725,872,873
Ballymote,Census Town,Sligo,"1,014",994,981,"1,229","1,539","1,549"
Ballymurn,Census Town,Wexford,...,...,...,...,464,524
Ballynacargy,Census Town,Westmeath,245,263,260,292,287,277
Ballynoe,Census Town,Cork,...,...,...,...,146,141
Ballynonty,Census Town,Tipperary,...,...,...,...,152,152
Ballyoulster,Census Town,Kildare,431,399,411,895,480,479
Ballyporeen,Census Town,Tipperary,324,293,295,304,313,318
Ballyragget,Census Town,Kilkenny,814,803,821,"1,014","1,089","1,082"
Ballyroan,Census Town,Laois,...,173,142,189,455,563
Ballyroe,Census Town,Kildare,...,...,151,202,191,181
Ballysax,Census Town,Kildare,...,...,170,270,333,342
Ballyshannon,Agglomeration,Donegal,"2,838","2,775","2,715","2,686","2,503","2,299"
Ballysimon,Census Town,Wexford,...,...,217,223,311,319
Ballytore,Census Town,Kildare,293,295,338,445,685,793
Ballyvaughan,Census Town,Clare,181,257,201,224,258,191
Balrothery,Census Town,Dublin,...,...,...,...,"1,866","2,017"
Baltimore,Census Town,Cork,217,232,383,377,347,323
Baltinglass,Census Town,Wicklow,"1,068","1,127","1,260","1,735","2,061","2,137"
Baltray,Census Town,Louth,135,130,120,121,103,132
Banagher,Census Town,Offaly,"1,423","1,414","1,553","1,636","1,653","1,760"
Bandon,Agglomeration,Cork,"4,741","4,751","5,161","5,822","6,640","6,957"
Bangor Erris,Census Town,Mayo,262,251,266,295,293,306
Bansha,Census Town,Tipperary,293,288,302,272,349,333
Banteer,Census Town,Cork,235,257,327,304,323,355
Bantry,Town,Cork,"2,777","2,936","3,150","3,309","3,348","2,722"
Barndarrig,Census Town,Wicklow,...,...,...,...,233,260
Barntown,Census Town,Wexford,432,410,394,394,461,459
Baylin,Census Town,Westmeath,...,...,...,...,244,240
Béal an Mhuirthead (Belmullet),Census Town,Mayo,986,954,952,"1,074","1,089","1,019"
Béal Átha an Ghaorthaidh (Ballingeary),Census Town,Cork,213,220,205,234,238,235
Bearna,Census Town,Galway,...,...,...,...,"1,878","1,998"
Beaufort,Census Town,Kerry,...,...,159,240,228,251
Beaulieu,Census Town,Louth,...,...,...,...,221,232
Belcarra,Census Town,Mayo,...,...,...,...,222,228
Belgooly,Census Town,Cork,...,...,...,535,765,826
Bellanagare,Census Town,Roscommon,...,...,...,134,142,153
Bellanode,Census Town,Monaghan,324,391,330,400,473,470
Bellavary,Census Town,Mayo,...,...,...,147,160,159
Belmont,Census Town,Offaly,291,257,252,219,209,200
Belturbet,Agglomeration,Cavan,"1,223","1,248","1,295","1,411","1,407","1,369"
Bennettsbridge,Census Town,Kilkenny,632,601,735,685,729,745
Birr,Agglomeration,Offaly ,"4,056","4,193","4,436","5,081","5,822","4,370"
Blacklion,Census Town,Cavan,...,153,166,174,229,194
Blarney,Census Town,Cork,"2,043","1,963","2,146","2,400","2,437","2,539"
Blessington,Census Town,Wicklow ,"1,408","1,860","2,509","4,018","5,010","5,520"
Boherbue,Census Town,Cork,441,447,379,378,333,334
Boherlahan,Census Town,Tipperary,...,...,...,...,...,299
Bohola,Census Town,Mayo,...,...,...,...,170,203
Borris,Census Town,Carlow,588,584,580,582,646,652
Borris-in-Ossory,Census Town,Laois,332,282,379,488,475,508
Borrisokane,Census Town,Tipperary,784,850,832,832,964,942
Borrisoleigh,Census Town,Tipperary,585,564,598,626,708,679
Boyle,Agglomeration,Roscommon,"2,197","2,222","2,205","2,522","2,588","2,568"
Bracknagh,Census Town,Offaly,300,281,259,240,209,212
Bray,Agglomeration,Wicklow,"26,953","27,923","30,951","31,901","31,872","32,600"
Bree,Census Town,Wexford,...,...,...,...,201,193
Bridebridge,Census Town,Cork,273,250,214,208,203,187
Bridge End,Census Town,Donegal,...,...,298,334,497,454
Bridgetown,Census Town,Wexford,262,246,183,202,385,462
Brittas,Census Town,Dublin,191,187,174,154,171,179
Broadford,Census Town,Limerick,295,271,300,313,295,276
Brosna,Census Town,Kerry,259,249,204,212,210,193
Brownstown,Census Town,Kildare,544,462,500,482,846,883
Bruff,Census Town,Limerick,850,700,695,724,783,803
Bruree,Census Town,Limerick,265,261,299,321,541,580
Bunclody - Carrickduff,Census Town,Carlow ,"1,316","1,241","1,361","1,863","2,012","1,984"
Buncrana,Agglomeration,Donegal,"4,388","4,805","5,271","5,911","6,839","6,785"
Bundoran,Agglomeration,Donegal,"1,463","1,796","1,842","1,964","2,140","1,963"
Bun na Leaca (Brinlack),Census Town,Donegal,...,...,381,392,441,402
Bunnyconnelan West,Census Town,Mayo,...,...,...,150,185,188
Bunratty,Census Town,Clare,...,...,...,...,219,349
Burnfoot,Census Town,Donegal,246,224,240,398,466,450
Butlersbridge,Census Town,Cavan,188,185,182,182,282,276
Buttevant,Census Town,Cork,"1,125","1,070",987,914,945,970
Bweeng,Census Town,Cork,...,...,...,...,418,524
Cabragh (Threemilehouse),Census Town,Monaghan,...,...,201,167,159,156
Caherconlish,Census Town,Limerick,668,636,616,700,"1,279","1,476"
Cahir,Census Town,Tipperary,"2,055","2,236","2,794","3,381","3,578","3,593"
Cahirciveen (Cahersiveen),Census Town,Kerry,"1,213","1,250","1,272","1,294","1,168","1,041"
Callan,Census Town,Kilkenny,"1,246","1,224","1,325","1,771","2,330","2,475"
Calverstown,Census Town,Kildare,...,...,...,650,648,699
Camolin,Census Town,Wexford,293,299,320,390,393,415
Campile,Census Town,Wexford,410,396,335,347,411,448
Cappamore,Census Town,Limerick,744,665,684,669,675,620
Cappawhite,Census Town,Tipperary,350,345,340,328,369,343
Cappoquin,Census Town,Waterford,829,780,756,740,759,699
Carlanstown,Census Town,Meath,...,...,...,348,631,664
Carlingford,Census Town,Louth,650,647,604,623,"1,045","1,445"
Carlow,Agglomeration,Carlow ,"14,027","14,979","18,487","20,724","23,030","24,272"
Carndonagh,Census Town,Donegal,"1,541","1,580","1,673","1,923","2,534","2,471"
Carnew,Census Town,Wicklow,737,795,809,949,"1,091","1,052"
Carney,Census Town,Sligo,...,...,...,219,349,395
Carragh,Census Town,Kildare,...,...,242,751,882,966
Carraig Airt,Census Town,Donegal,...,...,...,249,228,222
Carrickmacross,Agglomeration,Monaghan,"3,341","3,617","3,832","4,387","4,925","5,032"
Carrick-on-Shannon,Census Town,Leitrim ,"1,858","1,868","2,237","3,163","3,980","4,062"
Carrick-on-Suir,Agglomeration,Tipperary,"5,143","5,217","5,586","5,906","5,931","5,771"
Carrigaline,Census Town,Cork,"6,482","7,827","11,191","12,835","14,775","15,770"
Carrigallen,Census Town,Leitrim,243,251,257,303,384,387
Carrigans,Census Town,Donegal,218,185,158,191,336,331
Carrigkerry,Census Town,Limerick,...,...,173,166,180,184
Carrignavar,Census Town,Cork,...,...,...,482,499,519
Carrigtwohill,Census Town,Cork,"1,212","1,232","1,411","2,782","4,551","5,080"
Carrowkeel,Census Town,Donegal,249,268,253,331,388,355
Cashel,Agglomeration,Tipperary,"2,814","2,687","2,770","2,936","4,051","4,422"
Castlebar,Agglomeration,Mayo,"7,648","8,532","11,371","11,891","12,318","12,068"
Castlebellingham - Kilsaran,Census Town,Louth,762,792,721,816,"1,035","1,126"
Castleblayney,Agglomeration,Monaghan,"2,938","2,808","2,936","3,124","3,634","3,607"
Castlebridge - Blackwater,Census Town,Wexford,696,783,"1,013","1,624","1,726","1,840"
Castlecomer - Donaguile,Census Town,Kilkenny,"1,396","1,380","1,482","1,531","1,456","1,502"
Castleconnell,Census Town,Limerick,"1,391","1,414","1,343","1,330","1,917","2,107"
Castledermot,Census Town,Kildare,741,733,726,887,"1,398","1,475"
Castle Ellis,Census Town,Wexford,...,...,165,173,293,339
Castlefin,Census Town,Donegal,692,698,783,810,787,705
Castlegregory,Census Town,Kerry,159,163,186,205,243,250
Castleisland,Census Town,Kerry,"2,207","2,233","2,162","2,300","2,513","2,486"
Castlelyons,Census Town,Cork,164,164,211,203,292,374
Castlemagner,Census Town,Cork,...,...,...,...,246,281
Castlemaine,Census Town,Kerry,...,...,...,...,187,176
Castlemartyr,Census Town,Cork,587,484,577,978,"1,277","1,600"
Castlepollard,Census Town,Westmeath,863,888,895,"1,004","1,042","1,163"
Castlerea,Census Town,Roscommon,"1,822","1,790","1,788","1,873","1,985","1,992"
Castletown,Census Town,Laois,291,294,289,314,418,436
Castletownbere,Census Town,Cork,921,926,875,868,912,860
Castletown Geoghegan,Census Town,Westmeath,...,...,...,...,150,141
Castletownroche,Census Town,Cork,450,421,423,398,435,454
Castletownsend,Census Town,Cork,147,141,157,188,187,196
Causeway,Census Town,Kerry,233,261,251,211,264,257
Cavan,Agglomeration,Cavan,"5,254","5,623","6,098","7,883","10,205","10,914"
Celbridge,Census Town,Kildare,"9,629","12,289","16,016","17,262","19,537","20,288"
Charlestown - Bellahy,Census Town,Mayo,712,675,753,859,914,"1,033"
Cheekpoint,Census Town,Waterford,298,320,325,313,334,318
Churchtown,Census Town,Cork,...,...,...,217,509,598
Cill Charthaigh (Kilcar),Census Town,Donegal,307,290,262,232,248,258
Cill Rónáin (Kilronan),Census Town,Galway,295,265,270,259,297,247
Clane,Census Town,Kildare,"1,822","3,126","4,417","4,968","6,702","7,280"
Clara,Census Town,Offaly,"2,505","2,464","2,704","3,001","3,242","3,336"
Claremorris,Census Town,Mayo,"1,907","1,914","2,101","2,595","3,412","3,687"
Clarina,Census Town,Limerick,...,...,...,216,275,294
Clarinbridge,Census Town,Galway,...,...,173,257,389,384
Clashmore,Census Town,Waterford,...,...,161,224,252,252
Clifden,Census Town,Galway,808,920,"1,355","1,497","2,056","1,597"
Cliffoney,Census Town,Sligo,292,305,327,425,483,492
Cloghan,Census Town,Offaly,453,477,523,503,612,601
Clogh - Chatsworth,Census Town,Kilkenny,311,272,320,351,358,344
Clogheen,Census Town,Tipperary,499,518,550,509,491,478
Clogherhead,Census Town,Louth,746,775,906,"1,558","1,993","2,145"
Clonakilty,Agglomeration,Cork,"2,812","2,950","3,698","4,154","4,721","4,592"
Clonard,Census Town,Meath,...,...,248,347,339,347
Clonaslee,Census Town,Laois,483,504,538,501,518,566
Clonbullogue,Census Town,Offaly,335,329,390,442,422,439
Clondrohid,Census Town,Cork,...,...,...,...,188,179
Clondulane,Census Town,Cork,...,...,...,...,333,417
Clonee Village,Census Town,Meath,...,...,173,"1,000",631,826
