Name,Status,County,Population,Population,Population,Population,Population,Population
Lahinch,Census Town,Clare,550,580,625,607,642,638
Lanesborough - Ballyleague,Census Town,Roscommon,"1,054",984,943,"1,112","1,377","1,454"
Laragh,Census Town,Wicklow,248,267,357,378,340,342
Lawcus - Stoneyford,Census Town,Kilkenny,...,...,273,342,355,376
Laytown - Bettystown - Mornington - Donacarney,Census Town,Meath,"3,360","3,678","5,597","8,978","10,889","11,872"
Leap,Census Town,Cork,169,168,160,242,240,257
Legan,Census Town,Longford,...,...,...,...,199,215
Leighlinbridge,Census Town,Carlow,510,508,646,674,828,914
Leitrim,Census Town,Leitrim,...,...,...,258,485,594
Leixlip,Town,Kildare,"13,194","13,451","15,016","14,676","15,452","15,504"
Lemybrien,Census Town,Waterford,222,197,210,194,206,192
Letterkenny,Agglomeration,Donegal,"10,726","11,996","15,231","17,586","19,588","19,274"
Lifford,Census Town,Donegal,"1,359","1,275","1,395","1,448","1,658","1,626"
Limerick,Agglomeration,Limerick,"75,436","79,137","86,998","90,757","91,454","94,192"
Liscannor,Census Town,Clare,...,...,108,71,129,113
Liscarroll,Census Town,Cork,284,279,256,256,230,249
Lisdoonvarna,Census Town,Clare,842,890,822,767,739,829
Lismore,Agglomeration,Waterford,"1,095","1,095","1,182","1,240","1,369","1,374"
Lisronagh,Census Town,Tipperary,...,...,...,...,187,184
Lissycasey,Census Town,Clare,...,...,...,...,308,325
Listowel,Agglomeration,Kerry,"3,597","3,656","3,999","4,338","4,832","4,820"
Littleton,Census Town,Tipperary,566,544,500,463,410,394
Lixnaw,Census Town,Kerry,260,263,248,431,634,696
Loch an Iúir (Loughanure),Census Town,Donegal,286,262,312,307,337,313
Longford,Agglomeration,Longford,"6,824","6,984","7,557","8,836","9,601","10,008"
Longwood,Census Town,Meath,...,186,480,877,"1,378","1,581"
Lordship,Census Town,Louth,...,...,...,...,...,486
Loughglinn,Census Town,Roscommon,184,186,182,208,204,184
Lough Gowna,Census Town,Cavan,...,...,...,123,161,149
Loughrea,Town,Galway,"3,271","3,335","4,004","4,532","5,062","5,556"
Loughshinny,Census Town,Dublin,606,614,663,641,670,666
Louisburgh,Census Town,Mayo,177,150,207,314,422,434
Louth,Census Town,Louth,373,401,514,549,715,735
Lusk,Census Town,Dublin,"2,071","2,287","2,456","5,236","7,022","7,786"
Lyre,Census Town,Cork,...,...,...,...,134,163
Macroom,Agglomeration,Cork,"2,363","2,574","2,985","3,553","3,879","3,765"
Maddenstown,Census Town,Kildare,215,189,179,154,145,133
Maigh Cuilinn (Moycullen),Census Town,Galway,545,601,883,"1,237","1,559","1,704"
Malahide,Census Town,Dublin,"12,088","13,539","13,826","14,937","15,846","16,550"
Malin,Census Town,Donegal,...,...,...,122,106,92
Mallow,Agglomeration,Cork,"7,521","7,768","8,937","10,241","11,605","12,459"
Manorcunningham,Census Town,Donegal,455,404,320,414,643,675
Manorhamilton,Census Town,Leitrim,995,"1,008",927,"1,158","1,336","1,466"
Manor Kilbride,Census Town,Wicklow,...,...,...,...,281,272
Maynooth,Census Town,Kildare,"6,027","8,528","10,151","10,715","12,510","14,585"
Meathas Truim (Edgeworthstown),Census Town,Longford,801,737,726,"1,221","1,744","2,072"
Midleton,Agglomeration,Cork,"5,951","6,209","7,957","10,048","12,001","12,496"
Milford,Census Town,Cork,256,208,204,176,251,247
Milford,Census Town,Donegal,864,816,793,829,970,"1,037"
Millstreet,Census Town,Cork,"1,300","1,226","1,289","1,401","1,574","1,555"
Milltown,Census Town,Kerry,341,332,332,415,838,928
Milltown,Census Town,Kildare,311,297,271,242,365,344
Milltown,Census Town,Galway,...,...,...,...,199,207
Miltown Malbay,Census Town,Clare,615,626,562,570,777,829
Mín Lárach (Meenlaragh),Census Town,Donegal,465,440,430,372,442,420
Mitchelstown,Census Town,Cork,"3,090","3,123","3,300","3,365","3,677","3,740"
Moate,Census Town,Westmeath,"1,529","1,452","1,520","1,888","2,731","2,763"
Model Village (Dripsey),Census Town,Cork,319,319,295,304,345,380
Mogeely,Census Town,Cork,...,...,...,...,327,389
Mohill,Census Town,Leitrim,796,808,786,931,928,855
Monaghan,Agglomeration,Monaghan,"5,946","5,842","5,936","6,710","7,452","7,678"
Monard,Census Town,Tipperary,...,...,...,...,205,212
Monasterevin,Census Town,Kildare,"2,224","2,302","2,583","3,017","3,710","4,246"
Moneenroe,Census Town,Kilkenny,640,655,678,688,761,722
Moneygall,Census Town,Offaly,344,332,291,298,310,313
Monivea,Census Town,Galway,310,298,300,337,296,308
Mooncoin,Census Town,Kilkenny,810,855,854,"1,002","1,166","1,175"
Moroe,Census Town,Limerick,419,435,464,624,"1,271","1,377"
Mount Bellew,Census Town,Galway,539,547,667,746,784,774
Mountcharles,Census Town,Donegal,413,428,432,497,468,484
Mountcollins,Census Town,Limerick,263,271,230,221,216,201
Mountmellick,Agglomeration,Laois,"3,003","2,912","3,361","4,069","4,735","4,777"
Mountrath,Census Town,Laois,"1,375","1,298","1,331","1,435","1,661","1,774"
Mountshannon,Census Town,Clare,...,...,...,133,152,200
Moville,Census Town,Donegal,"1,392","1,394","1,465","1,427","1,481","1,480"
Moylough,Census Town,Galway,199,209,236,357,503,518
Mucklagh,Census Town,Offaly,374,342,521,708,810,826
Muff,Census Town,Donegal,257,334,773,947,"1,271","1,226"
Muinebeag (Bagenalstown),Agglomeration,Carlow,"2,700","2,695","2,728","2,735","2,950","2,837"
Mullagh,Census Town,Cavan,426,403,479,679,"1,137","1,348"
Mullaghmore,Census Town,Sligo,124,164,137,147,128,136
Mullinahone,Census Town,Tipperary,379,358,348,372,481,499
Mullinavat,Census Town,Kilkenny,283,275,309,255,259,233
Mullingar,Agglomeration,Westmeath,"11,867","12,492","15,621","18,416","20,103","20,928"
Mulranny,Census Town,Mayo,...,...,...,...,242,289
Multyfarnham,Census Town,Westmeath,...,...,153,193,376,420
Mungret,Census Town,Limerick,307,292,248,252,286,277
Murntown,Census Town,Wexford,244,184,243,347,363,365
Myshall,Census Town,Carlow,...,...,...,200,302,286
Naas,Town,Kildare,"11,141","14,074","18,288","20,044","20,713","21,393"
Na Forbacha (Furbogh),Census Town,Galway,...,...,319,175,308,356
Narraghmore,Census Town,Kildare,...,...,...,...,345,378
Naul,Census Town,Dublin,...,...,215,196,445,568
Navan (An Uaimh),Agglomeration,Meath,"11,706","12,810","19,417","24,851","28,559","30,173"
Nenagh,Agglomeration,Tipperary,"5,825","5,913","6,454","7,751","8,439","8,968"
Newbawn,Census Town,Wexford,...,...,169,204,184,177
Newbliss,Census Town,Monaghan,326,299,270,317,331,327
Newcastle,Census Town,Dublin,"1,200","1,289","1,160","1,506","2,659","3,093"
Newcastle,Census Town,Tipperary,193,186,201,245,328,352
Newcastle,Census Town,Wicklow,633,763,851,837,951,924
Newcastle West,Census Town,Limerick,"3,612","3,618","4,017","5,098","6,327","6,619"
Newmarket,Census Town,Cork,"1,097","1,150","1,055",949,988,976
Newmarket-on-Fergus,Census Town,Clare,"1,583","1,542","1,496","1,542","1,773","1,784"
Newport,Census Town,Mayo,521,567,527,590,616,626
Newport,Census Town,Tipperary,896,873,887,"1,286","1,806","1,995"
New Ross,Agglomeration,Kilkenny,"6,079","6,147","6,537","7,709","8,151","8,040"
Newtown (Newtownshandrum),Census Town,Cork,184,184,224,321,405,394
Newtown,Census Town,Laois,224,207,245,222,246,269
Newtown,Census Town,Tipperary,...,...,...,191,296,309
Newtowncunningham,Census Town,Donegal,610,594,663,999,"1,067","1,080"
Newtownforbes,Census Town,Longford,429,470,561,668,759,778
Newtownmountkennedy,Census Town,Wicklow,"2,321","2,528","2,521","2,548","2,410","2,835"
Newtownsandes,Census Town,Kerry,365,370,326,387,401,381
New Twopothouse,Census Town,Cork,...,...,...,...,...,120
Nobber,Census Town,Meath,253,242,245,233,357,344
Nurney,Census Town,Kildare,...,...,239,354,389,456
O'Briensbridge - Montpelier,Census Town,Clare,380,409,375,378,383,396
Oilgate (Oylegate),Census Town,Wexford,262,262,265,324,385,358
Oldcastle,Census Town,Meath,847,826,937,"1,316","1,384","1,383"
Oldtown,Census Town,Dublin,...,...,162,220,455,497
Omeath,Census Town,Louth,249,249,231,439,503,603
Oola,Census Town,Limerick,474,444,391,386,311,324
Oram,Census Town,Monaghan,...,...,...,...,145,186
Oranmore,Census Town,Galway,"1,192","1,410","1,692","3,513","4,799","4,990"
Oughterard,Census Town,Galway,711,751,"1,209","1,305","1,333","1,318"
Oulart,Census Town,Wexford,...,...,...,197,257,274
Palatine,Census Town,Carlow,...,...,...,...,351,398
Pallas Grean,Census Town,Limerick,318,303,368,359,589,568
Pallaskenry,Census Town,Limerick,469,519,550,534,664,651
Passage East,Census Town,Waterford,542,573,636,644,806,827
Passage West,Agglomeration,Cork,"3,606","3,922","4,595","5,203","5,790","5,843"
Patrickswell,Census Town,Limerick,"1,019","1,022",998,924,841,847
Paulstown,Census Town,Kilkenny,234,221,292,598,791,905
Pettigo (Irish part),Census Town,Donegal,370,320,275,280,239,239
Piercetown,Census Town,Wexford,256,309,471,528,555,535
Piltown,Census Town,Kilkenny,717,716,778,968,"1,187","1,220"
Pollagh,Census Town,Offaly,...,...,...,229,251,227
Portarlington,Census Town,Laois ,"3,211","3,320","4,001","6,004","7,788","8,368"
Portlaoise (Maryborough),Agglomeration,Laois,"8,360","9,474","12,127","14,613","20,145","22,050"
Portlaw,Census Town,Waterford,"1,151","1,176","1,183","1,495","1,696","1,742"
Portmagee,Census Town,Kerry,...,...,...,...,109,123
Portmarnock,Census Town,Dublin,"9,173","9,145","8,376","8,979","9,285","9,466"
Portrane,Census Town,Dublin,"2,153","1,924","1,726","1,532","1,372","1,236"
Portroe,Census Town,Tipperary,314,411,401,454,468,461
Portumna,Census Town,Galway,"1,017",984,"1,235","1,377","1,530","1,450"
Prosperous,Census Town,Kildare,882,814,"1,523","1,939","2,248","2,333"
Puckaun,Census Town,Tipperary,256,235,269,239,273,250
Quigleys Point,Census Town,Donegal,...,...,...,...,227,199
Quilty,Census Town,Clare,274,259,234,194,181,173
Quin,Census Town,Clare,245,242,427,565,935,951
Raharney,Census Town,Westmeath,254,232,232,231,227,221
Ramelton,Census Town,Donegal,920,978,"1,051","1,088","1,212","1,266"
Rann na Feirste,Census Town,Donegal,321,299,279,319,352,309
Raphoe,Census Town,Donegal,"1,090","1,065",949,"1,065","1,157","1,089"
Rathangan,Census Town,Kildare,"1,129","1,190","1,811","1,718","2,374","2,611"
Rathard - Aherla,Census Town,Cork,...,...,172,389,560,571
Rathcoffey,Census Town,Kildare,...,...,...,...,...,271
Rathcoole,Census Town,Dublin,"2,926","2,784","2,499","2,927","3,421","4,351"
Rathcoole,Census Town,Cork,...,...,...,...,198,224
Rathcormac,Census Town,Cork,365,382,429,"1,072","1,534","1,762"
Rathdowney,Census Town,Laois,"1,092","1,066","1,111","1,212","1,208","1,271"
Rathdrum,Census Town,Wicklow,"1,175","1,234","1,387","1,405","1,586","1,663"
Rathkeale,Census Town,Limerick,"1,803","1,546","1,362","1,494","1,550","1,441"
Rathluirc (Charleville),Census Town,Cork,"2,646","2,667","2,685","2,984","3,672","3,919"
Rathmolyon,Census Town,Meath,211,206,194,168,298,334
Rathmore,Census Town,Kerry,505,470,450,611,778,790
Rathmullen,Census Town,Donegal,536,491,514,469,518,493
Rathnew,Census Town,Wicklow,"1,496","1,437","1,441","1,849","2,964","3,370"
Rathowen,Census Town,Westmeath,...,...,...,...,...,150
Rathtoe,Census Town,Carlow,...,...,...,...,303,304
Rathvilly,Census Town,Carlow,531,458,500,796,881,944
Ratoath,Census Town,Meath,593,"1,061","3,794","7,249","9,043","9,533"
Reardnogy,Census Town,Tipperary,...,...,159,137,176,156
Redcross,Census Town,Wicklow,...,...,...,196,241,278
Rhode,Census Town,Offaly,500,476,705,778,778,811
Ringaskiddy - Loughbeg,Census Town,Cork,545,429,407,514,478,580
Rivermeade,Census Town,Dublin,660,621,558,615,543,530
Riverstick,Census Town,Cork,...,...,...,...,592,590
Riverstown,Census Town,Sligo,274,266,273,310,374,334
Robertstown,Census Town,Kildare,235,206,375,621,669,707
Rochfortbridge,Census Town,Westmeath,721,724,"1,382","1,473","1,494","1,473"
Rockcorry,Census Town,Monaghan,278,260,287,292,310,316
Roosky,Census Town,Leitrim ,249,220,198,329,523,564
Roscommon,Census Town,Roscommon,"3,427","3,915","4,489","5,017","5,693","5,876"
Roscrea,Census Town,Tipperary,"4,231","4,170","4,578","4,910","5,403","5,446"
Rosegreen,Census Town,Tipperary,...,...,...,201,170,171
Rosscahill,Census Town,Galway,...,...,...,240,295,306
Rosscarbery,Census Town,Cork,455,406,437,507,534,490
Rosses Point,Census Town,Sligo,707,799,774,872,824,883
Rosslare,Census Town,Wexford,847,929,"1,145","1,359","1,547","1,620"
Roundstone,Census Town,Galway,281,241,239,207,245,214
Roundwood,Census Town,Wicklow,437,446,518,589,833,948
Rush,Census Town,Dublin,"4,839","5,429","6,769","8,286","9,231","9,943"
Saggart,Census Town,Dublin,603,550,588,868,"2,144","3,133"
Saleen,Census Town,Cork,...,...,...,...,374,445
Sallins,Census Town,Kildare,783,854,"2,922","3,806","5,283","5,849"
Scarriff - Tuamgraney,Census Town,Clare,789,763,807,798,816,770
Schull,Census Town,Cork,579,595,693,576,658,700
Scotshouse,Census Town,Monaghan,...,...,...,...,...,220
Scotstown,Census Town,Monaghan,244,234,220,250,370,361
Shanagarry,Census Town,Cork,242,230,291,297,414,538
Shanagolden,Census Town,Limerick,416,412,373,292,294,303
Shanbally,Census Town,Cork,...,...,...,...,337,349
Shanballymore,Census Town,Cork,...,...,...,...,160,165
Shannon,Town,Clare,"7,920","7,939","8,561","9,222","9,673","9,729"
Shannonbridge,Census Town,Offaly,312,266,248,221,206,175
Shercock,Census Town,Cavan,371,380,454,461,531,588
Shillelagh,Census Town,Wicklow,326,324,278,311,341,337
Shinrone,Census Town,Offaly,455,479,488,591,634,645
Shrule,Census Town,Mayo,246,337,326,425,418,432
Silvermines,Census Town,Tipperary,209,202,257,269,288,310
Sixmilebridge,Census Town,Clare,"1,191","1,144","1,327","1,659","2,507","2,625"
Skerries,Census Town,Dublin,"7,032","7,339","9,149","9,535","9,671","10,043"
Skibbereen,Agglomeration,Cork,"1,892","1,926","2,000","2,338","2,670","2,778"
Slane,Census Town,Meath,699,688,823,"1,099","1,349","1,369"
Slieverue,Census Town,Kilkenny,275,296,461,484,499,476
Sligo,Agglomeration,Sligo,"17,964","18,509","19,735","19,402","19,452","19,199"
Smithborough,Census Town,Monaghan,236,232,240,309,363,395
Sneem,Census Town,Kerry,292,296,285,279,258,288
Spa,Census Town,Kerry,398,394,424,417,460,443
Stamullen,Census Town,Meath,396,427,779,"2,487","3,130","3,361"
St. Johnston,Census Town,Donegal,442,453,470,479,583,523
Stradbally,Census Town,Laois,"1,046","1,047","1,178","1,056","1,154","1,350"
Stradbally,Census Town,Waterford,251,262,298,391,420,438
Straffan,Census Town,Kildare,341,341,332,439,635,853
Strandhill,Census Town,Sligo,654,764,"1,002","1,413","1,596","1,753"
Stratford (Stratford-on-Slaney),Census Town,Wicklow,...,...,151,163,217,241
Strokestown,Census Town,Roscommon,568,572,631,773,814,825
Summerhill,Census Town,Meath,368,502,668,799,832,878
Suncroft,Census Town,Kildare,520,490,498,607,735,746
Swanlinbar,Census Town,Cavan,188,191,223,266,211,207
Swinford,Census Town,Mayo,"1,216","1,386","1,497","1,502","1,435","1,394"
Swords,Census Town,Dublin,"17,705","22,314","27,175","33,998","36,924","39,248"
Taghmon,Census Town,Wexford,676,619,625,674,623,585
Tallanstown,Census Town,Louth,439,408,443,653,673,674
Tallow,Census Town,Waterford,858,802,845,911,962,946
Tarbert,Census Town,Kerry,679,605,548,550,551,540
Templemore,Agglomeration,Tipperary,"2,325","2,244","2,270","2,384","2,071","1,939"
Templetuohy,Census Town,Tipperary,238,293,325,322,323,282
Termonbarry (Tarmonbarry),Census Town,Roscommon,...,...,...,...,...,443
Termonfeckin,Census Town,Louth,589,530,503,653,"1,443","1,579"
The Ballagh,Census Town,Wexford,...,...,...,...,477,515
The Commons,Census Town,Tipperary,...,...,...,...,152,150
The Swan,Census Town,Laois,...,...,...,...,213,216
Thomastown,Census Town,Kilkenny,"1,487","1,581","1,600","1,837","2,273","2,445"
Thurles,Agglomeration,Tipperary,"6,955","6,939","7,425","7,682","7,933","7,940"
Tievebane,Census Town,Donegal,212,236,267,235,351,345
Timoleague,Census Town,Cork,304,285,323,365,373,381
Tinahely,Census Town,Wicklow,628,630,692,965,970,937
Tinriland (Tinryland),Census Town,Carlow,326,331,371,243,418,378
Tinure,Census Town,Louth,...,...,296,387,456,464
Tipperary,Agglomeration,Tipperary,"4,963","4,854","4,964","5,065","5,310","4,979"
Toomevara,Census Town,Tipperary,411,362,321,286,311,280
Toornafulla,Census Town,Limerick,...,...,...,...,152,144
Tower,Census Town,Cork,"1,402","1,841","3,032","3,102","3,306","3,421"
Tralee,Agglomeration,Kerry,"17,862","19,950","21,987","22,744","23,693","23,691"
Tramore,Agglomeration,Waterford,"6,064","6,536","8,305","9,634","10,328","10,381"
Trim,Agglomeration,Meath,"4,185","4,405","5,894","6,870","8,268","9,194"
Tuam,Agglomeration,Galway,"5,540","5,627","5,947","6,885","8,242","8,767"
Tubbercurry,Census Town,Sligo,"1,069","1,089","1,171","1,421","1,747","1,986"
Tulla,Census Town,Clare,398,382,414,645,662,661
Tullaghan,Census Town,Leitrim,...,...,...,216,228,253
Tullamore,Agglomeration,Offaly,"9,430","10,039","11,098","12,927","14,361","14,607"
Tullow,Census Town,Carlow,"2,424","2,364","2,417","3,048","3,972","4,673"
Tullyallen,Census Town,Louth,393,429,617,"1,036","1,358","1,547"
Tulsk,Census Town,Roscommon,...,...,...,...,195,241
Turlough,Census Town,Mayo,...,...,...,...,272,299
Turloughmore,Census Town,Galway,...,...,...,...,...,240
Twomileborris,Census Town,Tipperary,298,325,474,550,548,572
Tyrrellspass,Census Town,Westmeath,376,396,443,493,506,483
Unionhall,Census Town,Cork,202,206,202,192,252,270
Urlingford,Census Town,Kilkenny,689,689,739,867,973,"1,038"
Villierstown,Census Town,Waterford,...,...,192,260,279,276
Virginia,Census Town,Cavan,720,811,"1,093","1,734","2,282","2,648"
Waterford,Agglomeration,Kilkenny,"41,853","44,155","46,736","49,213","51,519","53,504"
Watergrasshill,Census Town,Cork,250,252,386,860,"1,161","1,346"
Waterville - Spunkane,Census Town,Kerry,463,466,538,546,465,462
Westport,Agglomeration,Mayo,"3,688","4,520","5,634","5,475","6,063","6,198"
Wexford,Agglomeration,Wexford,"15,393","15,862","17,235","18,163","20,072","20,188"
Whitechurch,Census Town,Cork,...,...,...,408,573,665
Whitegate,Census Town,Cork,289,293,440,765,"1,067","1,154"
Whitegate,Census Town,Clare,193,200,193,218,176,168
Wicklow,Agglomeration,Wicklow,"6,215","7,290","9,355","10,070","10,356","10,584"
Williamstown,Census Town,Galway,...,...,...,...,155,148
Woodford,Census Town,Galway,265,298,280,301,282,239
Youghal,Agglomeration,Cork,"5,828","5,943","6,597","6,785","7,794","7,963"